t_sec,target_kbps,loss_based_kbps,delay_based_kbps,fraction_loss,rtt_ms
10.288,9890,9890,9890,0,19
10.302,9890,9890,9890,0,19
10.310,9890,9890,9890,0,29
10.326,9890,9890,9890,0,29
10.339,9929,9929,9929,0,29
10.345,9929,9929,9929,0,12
10.351,9929,9929,9929,0,12
10.376,9929,9929,9929,0,12
10.381,9929,9929,9929,0,14
10.390,9929,9929,9929,0,14
10.402,9929,9929,9929,0,15
10.426,9929,9929,9929,0,15
10.440,9929,9929,9929,0,8
10.451,9929,9929,9929,0,8
10.475,9929,9929,9929,0,2
10.491,9929,9929,9929,0,2
10.502,9929,9929,9929,0,16
10.525,9929,9929,9929,0,16
10.542,9929,9929,9929,0,21
10.550,9929,9929,9929,0,21
10.576,9929,9929,9929,0,30
10.593,9968,9968,9968,0,30
10.602,9968,9968,9968,0,7
10.625,9968,9968,9968,0,7
10.628,9968,9968,9968,0,7
10.643,9968,9968,9968,0,7
10.651,9968,9968,9968,0,2
10.677,9968,9968,9968,0,2
10.695,10008,10008,10008,0,3
10.701,10008,10008,10008,0,3
10.726,10008,10008,10008,0,14
10.734,10008,10008,10008,0,14
10.744,10046,10046,10046,0,14
10.751,10046,10046,10046,0,14
10.770,10046,10046,10046,0,29
10.776,10046,10046,10046,0,29
10.794,10085,10085,10085,0,13
10.801,10085,10085,10085,0,13
10.826,10085,10085,10085,0,13
10.839,10085,10085,10085,0,4
10.845,10085,10085,10085,0,4
10.851,10085,10085,10085,0,4
10.874,10085,10085,10085,0,13
10.876,10085,10085,10085,0,13
10.895,10085,10085,10085,0,13
10.902,10085,10085,10085,0,13
10.926,10085,10085,10085,0,13
10.945,10085,10085,10085,0,19
10.947,10125,10125,10125,0,19
10.950,10125,10125,10125,0,19
10.977,10125,10125,10125,0,2
10.996,10125,10125,10125,0,2
11.001,10125,10125,10125,0,2
11.027,10125,10125,10125,0,4
11.047,10165,10165,10165,0,4
11.050,10165,10165,10165,0,4
11.077,10165,10165,10165,0,2
11.097,10165,10165,10165,0,2
11.101,10165,10165,10165,0,2
11.121,10165,10165,10165,0,5
11.125,10165,10165,10165,0,5
11.147,10204,10204,10204,0,2
11.152,10204,10204,10204,0,2
11.159,10204,10204,10204,0,6
11.177,10204,10204,10204,0,6
11.199,10245,10245,10245,0,6
11.202,10245,10245,10245,0,6
11.225,10245,10245,10245,0,24
11.249,10245,10245,10245,0,24
11.252,10245,10245,10245,0,24
11.262,10245,10245,10245,0,24
11.276,10245,10245,10245,0,24
11.298,10245,10245,10245,0,41
11.300,10284,10284,10284,0,41
11.301,10284,10284,10284,0,41
11.327,10284,10284,10284,0,2
11.334,10284,10284,10284,0,2
11.351,10284,10284,10284,0,2
11.351,10284,10284,10284,0,2
11.367,10284,10284,10284,0,2
11.377,10284,10284,10284,0,2
11.401,10284,10284,10284,0,7
11.401,10284,10284,10284,0,7
11.425,10284,10284,10284,0,24
11.452,10284,10284,10284,0,24
11.452,10284,10284,10284,0,24
11.472,10284,10284,10284,0,21
11.476,10284,10284,10284,0,21
11.501,10284,10284,10284,0,17
11.501,10285,10285,10285,0,17
11.526,10285,10285,10285,0,3
11.551,10285,10285,10285,0,3
11.551,10285,10285,10285,0,3
11.576,10285,10285,10285,0,4
11.579,10285,10285,10285,0,15
11.600,10285,10285,10285,0,15
11.601,10285,10285,10285,0,15
11.617,10285,10285,10285,0,15
11.626,10285,10285,10285,0,15
11.649,10285,10285,10285,0,23
11.651,10285,10285,10285,0,23
11.652,10325,10325,10325,0,23
11.677,10325,10325,10325,0,23
11.701,10325,10325,10325,0,42
11.704,10325,10325,10325,0,42
11.718,10325,10325,10325,0,19
11.726,10325,10325,10325,0,19
11.751,10325,10325,10325,0,13
11.753,10365,10365,10365,0,13
11.757,10365,10365,10365,0,4
11.776,10365,10365,10365,0,4
11.790,10365,10365,10365,0,3
11.801,10365,10365,10365,0,3
11.805,10365,10365,10365,0,3
11.826,10365,10365,10365,0,2
11.827,10365,10365,10365,0,2
11.852,10365,10365,10365,0,2
11.855,7844,7844,7844,0,2
11.860,7844,7844,7844,0,3
11.875,7844,7844,7844,0,3
11.897,7844,7844,7844,0,37
11.901,7844,7844,7844,0,37
11.905,7844,7844,7844,0,37
11.926,7844,7844,7844,0,6
11.951,7844,7844,7844,0,6
11.956,7874,7874,7874,0,6
11.966,7874,7874,7874,0,9
11.977,7874,7874,7874,0,9
12.000,7874,7874,7874,0,2
12.006,7905,7905,7905,0,15
12.027,7905,7905,7905,0,15
12.051,7905,7905,7905,0,17
12.057,7905,7905,7905,0,17
12.074,7905,7905,7905,0,17
12.077,7905,7905,7905,0,17
12.100,7905,7905,7905,0,2
12.108,7906,7906,7906,0,2
12.127,7906,7906,7906,0,2
12.152,7906,7906,7906,0,12
12.159,7906,7906,7906,0,12
12.176,7906,7906,7906,0,12
12.201,7906,7906,7906,0,18
12.209,7907,7907,7907,0,18
12.226,7907,7907,7907,0,5
12.252,7907,7907,7907,0,5
12.261,7907,7907,7907,0,15
12.276,7907,7907,7907,0,15
12.302,7907,7907,7907,0,13
12.310,7937,7937,7937,0,13
12.325,7937,7937,7937,0,13
12.352,7937,7937,7937,0,9
12.361,7968,7968,7968,0,9
12.376,7968,7968,7968,0,17
12.401,7968,7968,7968,0,17
12.411,7999,7999,7999,0,3
12.427,7999,7999,7999,0,3
12.451,7999,7999,7999,0,2
12.461,8030,8030,8030,0,2
12.475,8030,8030,8030,0,2
12.493,8030,8030,8030,0,18
12.501,8030,8030,8030,0,5
12.513,8062,8062,8062,0,5
12.526,8062,8062,8062,0,5
12.551,8062,8062,8062,0,2
12.562,8092,8092,8092,0,2
12.577,8092,8092,8092,0,2
12.600,8092,8092,8092,0,30
12.613,8124,8124,8124,0,30
12.626,8124,8124,8124,0,16
12.650,8124,8124,8124,0,16
12.663,8124,8124,8124,0,14
12.677,8124,8124,8124,0,14
12.701,8124,8124,8124,0,14
12.713,8124,8124,8124,0,14
12.727,8124,8124,8124,0,14
12.741,8124,8124,8124,0,20
12.751,8124,8124,8124,0,20
12.765,8125,8125,8125,0,20
12.776,8125,8125,8125,0,20
12.800,8125,8125,8125,0,16
12.811,8125,8125,8125,0,16
12.815,8125,8125,8125,0,16
12.826,8125,8125,8125,0,16
12.847,8125,8125,8125,0,14
12.851,8125,8125,8125,0,14
12.867,8125,8125,8125,0,14
12.876,8125,8125,8125,0,2
12.902,8125,8125,8125,0,2
12.917,8125,8125,8125,0,3
12.918,8156,8156,8156,0,3
12.925,8156,8156,8156,0,3
12.952,8156,8156,8156,0,2
12.969,8156,8156,8156,0,2
12.976,8156,8156,8156,0,2
13.002,8156,8156,8156,0,2
13.019,8188,8188,8188,0,18
13.025,8188,8188,8188,0,18
13.051,8188,8188,8188,0,18
13.058,8188,8188,8188,0,38
13.069,8188,8188,8188,0,38
13.077,8188,8188,8188,0,38
13.100,8188,8188,8188,0,7
13.119,8219,8219,8219,0,6
13.125,8219,8219,8219,0,6
13.151,8219,8219,8219,0,13
13.170,8219,8219,8219,0,13
13.177,8219,8219,8219,0,13
13.199,8219,8219,8219,0,5
13.200,8219,8219,8219,0,5
13.221,8252,8252,8252,0,5
13.226,8252,8252,8252,0,4
13.252,8252,8252,8252,0,4
13.270,8252,8252,8252,0,21
13.271,8283,8283,8283,0,21
13.276,8283,8283,8283,0,21
13.301,8283,8283,8283,0,22
13.321,8283,8283,8283,0,22
13.327,8283,8283,8283,0,20
13.352,8283,8283,8283,0,20
13.372,8315,8315,8315,0,21
13.375,8315,8315,8315,0,21
13.402,8315,8315,8315,0,16
13.422,8315,8315,8315,0,16
13.426,8315,8315,8315,0,16
13.450,8315,8315,8315,0,8
